"specimenID","assay","platform","dnaBatch","sequencingBatch","libraryPrep","libraryPreparationMethod","readLength","runType","totalReads","numberCells","260/280","260/230","GQN"
71795,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71796,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71797,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71798,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71799,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71800,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71801,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71802,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71803,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71804,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71805,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71806,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71807,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71808,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71809,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71810,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71811,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71812,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71813,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71814,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71815,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71816,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71817,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71818,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71819,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71823,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71824,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71825,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71826,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71827,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71828,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71829,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71830,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71831,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71832,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71833,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71834,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71835,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71836,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71837,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71838,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71839,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71841,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71842,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71843,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71844,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71845,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71846,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71847,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71848,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71849,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71850,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71851,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71852,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71853,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71855,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71856,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71857,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71858,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71859,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71860,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71861,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71862,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71863,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71865,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71866,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71867,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71868,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71870,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71871,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71873,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
